Código,Descripción,Marca,Modelo,Precio USD,Referencia,Proveedor,Imagen
52853641AD,CARDÁN DELANTERO GRAN CHEROKEE 4X4 2011 EN ADELANTE 5.7,DRC,,228.80,327.18,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
1538,CRUCETA DIRECCIÓN TOYOTA 15MM,PRECISION,3.36,4.81,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
1640,CRUCETA DIRECCIÓN 16 MM,GMGR,3.36,4.81,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
1-37300-0130,CRUCETA ENCAVA (35.25X104.30),PRECISION,12.87,18.40,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
279,279 MACK-FORD CARGO 1721-KODIAK- ENCAVA 3100- F-7000,PRECISION,35.75,51.12,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
27X70,CRUCETA AGRÍCOLA 27X70mm,PRECISION,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
27X72,CRUCETA 27X72mm,PRECISION,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
280,CRUCETA MACK RIN 24,PRECISION,35.75,51.12,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
281,CRUCERA MACK CARDÁN 41/2,PRECISION,42.90,61.35,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
29X77,CRUCETA GUT-23 RETÉN EXTERNO 29mmX77mm,PRECISION,6.72,9.61,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
315G,CRUCETA DODGE,PRECISION,5.36,7.67,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
330,CRUCETA F-600/ TRITON/ NPR,PRECISION,7.86,11.25,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
331,CRUCETA C-30,PRECISION,7.86,11.25,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
338,CRUCETA DIRECCIÓN,PRECISION,4.72,6.75,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
340/341,CRUCETA ISUZU CARIBE/ ABONADORAS AGRÍCOLAS 24X62,GMG,5.72,8.18,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
344,CRUCETA AGRICOLA 27X75 MM ,GMG,5.01,7.16,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
351,CRUCETA F-750,PRECISION,10.73,15.34,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
354,CRUCETA F-350,PRECISION,6.44,9.20,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
354R,CRUCETA F-350 DRC,DRC,,6.44,9.20,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
355,CRUCETA CHEYENNE/ SILVERADO,QG,5.51,7.87,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
358,CRUCETA FORD 7000/ BACHACO/ KODIAK,PRECISION,11.44,16.36,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
365,CRUCETA 365 PUNTA EJE JEEP/ WAGONEER/ CHEROKEE 27mmX52.58mm,PRECISION,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
369,CRUCETA F-100 UNIVERSAL (329),PRECISION,5.22,7.46,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
329R,CRUCETA REFORZADA PESADO SPL TIPO SPICER (369),DRC,,8.58,12.27,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
371,CRUCETA JEEP/DODGE/ WAGONEER/ FORD F150 BRONCO 30.18mmX52,7X82mm RETÉN INTERNO,GMGR,8.01,11.45,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
371-P,CRUCETA JEEP/DODGE/ WAGONEER/ FORD F150 BRONCO 30.18mmX52,7X82mm RETÉN INTERNO,PRECISION,8.01,11.45,
372,CRUCETA MIXTA 369 CON 354,PRECISION,6.44,9.20,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
374,CRUCETA FORD TRITON/ SUPER DUTY RUEDA DELANTERA,PRECISION,10.73,15.34,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
385,CRUCETA TOYOTA TERIOS RETÉN INTERNO 22,5mmX58mmX35mm RÉTEN INTERNO,PRECISION,4.79,6.85,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
398,CRUCETA GRAND VITARA/ TERIOS/ SUPER CARRY 25mmX63,8mm,PRECISION,5.01,7.16,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
30X80,CRUCETA 30X80mm,PRECISION,7.44,10.63,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
30X88,CRUCETA ZNA RICH 4X4 30mmX88mm RETEN INTERNO / EXTERNO ,PRECISION,8.29,11.86,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
437,CRUCETA CHEVETTE/ SIERRA,PRECISION,5.22,7.46,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
534,CRUCETA CHEVROLET/ BLAZER/ SILVERADO,PRECISION,6.65,9.51,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-153X,CRUCETA 521/369 SPICER ORIGINAL (329),SPICER,16.52,23.62,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-160X,CRUCETA 330 SPICER ORIGINAL,SPICER,18.59,26.58,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-273X,CRUCETA 354 SPICER ORIGINAL,SPICER,18.18,25.99,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-324X (324),CRUCETA MIXTA CAMIONES MACK R600 80/90 324,PRECISION,85.80,122.69,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-6000X,CRUCETA IVECO/ FIAT/ INTERNACIONAL/ BLUEBIRD,PRECISION,46.48,66.46,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
5-7000X,CRUCETA IVECO/ FIAT/ INTERNACIONAL,PRECISION,50.05,71.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
674,CRUCETA MIXTA CARGO 1721,PRECISION,34.32,49.08,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
675,CRUCETA MIXTA MACK/ GRANITE/ KENWORTH,PRECISION,37.18,53.17,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
8-97322-749-0,CRUCETA NPR MODELO NUEVO 33mmx103mm,PRECISION,11.03,15.77,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
897943042-1,CRUCETA LUV D-MAX PRECISION,PRECISION,10.01,14.31,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
964,CRUCETA AGRÍCOLA 32X81,PRECISION,7.51,10.74,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
EQ140/2,CRUCETA DONFENG 5 TONELADA 39mmX118mm,PRECISION,10.30,14.72,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUIS-66,CRUCETA JAC 1061, ISUZU NPR KS22 1984-1995 33mmX93mm,PRECISION,10.01,14.31,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUM-75,CRUCETA MITSUBISHI CANTER,GMG,9.22,13.19,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUN-30,CRUCETA NISSAN PATROL 30.188X92.08,PRECISION,8.22,11.76,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUN-31,CRUCETA IVECO DAYLI 5912 32mmX106mm,PRECISION,8.87,12.68,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUN-93,CRUCETA ZNA RICH 4X4 30mmX85mm RETÉN INTERNO,PRECISION,7.72,11.04,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUT-20,CRUCETA TOYOTA SAMURAI/ DINA/FJ40,PRECISION,8.58,12.27,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
GUT-23,CRUCETA TOYOTA RUNNER PRECISION,PRECISION,6.44,9.20,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
UW2050,CRUCETA CARDÁN REMOLQUE DE MOTO 20mmX50mm,KBR,6.86,9.82,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
05057539AD,CARDÁN DE DIRECCIÓN UNIVERSAL PARA ADAPTAR,MOPAR,21.45,30.67,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
AGRI-1,YOKE AGRÍCOLA ESTRIADO PARA CRUCETA 340/341 7 ESTRÍAS,DRC,,17.16,24.54,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
AGRI-2,YOKE AGRÍCOLA ESTRIADO PARA CRUCETA 964 7 ESTRÍAS,DRC,,22.88,32.72,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
PSLB-281,YOKE ESPIGA ECUALIZABLE- DIRECCIÓN,DRC,,23.02,32.92,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
Y-1-1/8,YOKE REDONDO 1 1/8,DRC,,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
Y-3/4,YOKE REDONDO 3/4,DRC,,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
Y-7/8,YOKE REDONDO 7/8,DRC,,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
Y-C-1'',YOKE CUADRADO 1'',DRC,,6.22,8.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
Y-E-13/16,YOKE ESTRIADO 13/16,MARCH,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
Y-E-7/8,YOKE ESTRIADO 7/8,DRC,,6.79,9.71,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
17878,PASADOR D-44 F-100,SPICER,,5.29,7.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
30263,PASADOR D-60 TOYOTA,DRC,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
35081,PASADOR D-70 FORD 350,DRC,,10.01,14.31,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
37201,PASADOR CHEVETTE DANA-26,MARCH,,5.72,8.18,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
191790,PASADOR SILVERADO M.N,SPICER,,5.29,7.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
193585,PASADOR DODGE DART,DRC,,5.29,7.57,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
23X25,PASADOR FORTALEZA,DRC,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
43270,KIT ARANDELA F-750 / CARGO 1721 (7EQH-4147/4228/4230),GENÉRICA,,22.88,32.72,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
43271,KIT DE ARANDELA SUPER BRIGADIER (4271 (1) - 108145 (4) - 83726 (3)),GENÉRICA,,28.60,40.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
43272,KIT DE ARANDELA F-950 / BRIGADIER (B8QH-4147/4228/4230),GENÉRICA,,28.60,40.90,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
EEQ1,KIT DE ARANDELA COLLARÍN CARGO 1721,GENÉRICA,,21.45,30.67,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V3231,KIT ARANDELA D-44 F-150,GENÉRICA,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V-3231-1,KIT ARANDELA HILUX,GENÉRICA,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V3232,KIT ARANDELA D-60 TOYOTA-DODGE,GENÉRICA,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V3233,KIT ARANDELA D-70 F-350,GENÉRICA,,7.15,10.22,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
V3234,KIT ARANDELA CHEVROLET NPR/ENCAVA,GENÉRICA,,14.30,20.45,PS-00001,/Uploads/Sanchez Import/Fotos_Sanchez_Import/test5.jpg
